time_passed,earth_x,earth_y,earth_z,force_factor,
1.939999,-0.105389,-0.037665,0,87.68618,
1.949998,-0.110101,-0.058326,0,71.853561,
1.959998,-0.114175,-0.078649,0,57.97385,
1.969998,-0.117715,-0.098605,0,46.821983,
1.979998,-0.120805,-0.118183,0,38.168579,
1.989998,-0.123514,-0.137389,0,31.511419,
1.999998,-0.125898,-0.156233,0,26.368496,
2.009999,-0.128,-0.174728,0,22.355133,
2.019999,-0.129857,-0.192888,0,19.184029,
2.029999,-0.131498,-0.210726,0,16.64554,
2.039999,-0.132947,-0.228257,0,14.587382,
2.049999,-0.134224,-0.245494,0,12.898393,
2.059999,-0.135347,-0.262448,0,11.49671,
2.069999,-0.13633,-0.279132,0,10.321356,
2.079998,-0.137186,-0.295555,0,9.326382,
2.089998,-0.137926,-0.311728,0,8.476747,
2.099998,-0.138559,-0.327659,0,7.745417,
2.109998,-0.139094,-0.343357,0,7.111309,
2.119998,-0.139537,-0.35883,0,6.557802,
2.129998,-0.139895,-0.374085,0,6.071661,
2.139998,-0.140175,-0.389129,0,5.64226,
2.149998,-0.140381,-0.403969,0,5.260982,
2.159998,-0.140518,-0.418609,0,4.920786,
2.169998,-0.14059,-0.433057,0,4.61588,
2.179998,-0.140601,-0.447316,0,4.341459,
2.189998,-0.140554,-0.461392,0,4.09351,
2.199998,-0.140453,-0.47529,0,3.868666,
2.209998,-0.1403,-0.489014,0,3.664082,
2.219998,-0.140099,-0.502567,0,3.477339,
2.229998,-0.139851,-0.515955,0,3.306372,
2.239998,-0.13956,-0.52918,0,3.149412,
2.249998,-0.139226,-0.542245,0,3.004928,
2.259998,-0.138853,-0.555156,0,2.8716,
2.269998,-0.138441,-0.567913,0,2.748278,
2.279998,-0.137993,-0.580521,0,2.633956,
2.289998,-0.13751,-0.592982,0,2.527757,
2.299998,-0.136993,-0.6053,0,2.428906,
2.309998,-0.136445,-0.617476,0,2.336722,
2.319998,-0.135865,-0.629512,0,2.250601,
2.329998,-0.135257,-0.641413,0,2.170007,
2.339998,-0.13462,-0.653179,0,2.094462,
